date,hour,userType,source,pagePath,deviceCategory,country,city,users,sessions,sessionDuration,timeOnPage,pageLoadTime,bounces
20200328,23,New Visitor,google,/blog/image-rotation-opencv,desktop,United Arab Emirates,Abu Dhabi,1,1,347,56,0,0
20200328,23,New Visitor,google,/blog/ssd-yolo,desktop,United Arab Emirates,Abu Dhabi,1,0,0,291,0,0
20200329,0,New Visitor,getbottraffic4free.pw,/,mobile,Denmark,Koge,1,1,163,164,0,0
20200329,0,New Visitor,google,/blog/image-rotation-opencv,mobile,Canada,Waterloo,1,1,0,0,0,1
20200329,1,New Visitor,getbottraffic4free.pw,/,desktop,Germany,Berlin,1,1,109,109,0,0
20200329,1,New Visitor,getbottraffic4free.pw,/,desktop,Spain,(not set),1,1,90,90,0,0
20200329,1,New Visitor,google,/blog/document-detection,desktop,Poland,Oswiecim,1,1,0,0,0,1
20200329,1,New Visitor,google,/blog/monitoring-grafana,desktop,United States,Lakeland Highlands,1,1,0,0,0,1
20200329,3,New Visitor,getbottraffic4free.pw,/,tablet,United Kingdom,Slough,1,1,497,497,0,0
20200329,3,New Visitor,google,/blog/document-detection,desktop,Dominican Republic,Santo Domingo,1,1,0,0,0,1
20200329,3,New Visitor,google,/blog/image-rotation-opencv,desktop,Canada,Kitchener,1,1,0,0,0,1
20200329,3,Returning Visitor,google,/blog/image-rotation-opencv,mobile,Canada,Waterloo,1,1,0,0,0,1
20200329,4,New Visitor,getbottraffic4free.pw,/,mobile,United Kingdom,London,1,1,67,66,0,0
20200329,4,New Visitor,google,/blog/ssd-yolo,desktop,United States,Seattle,1,1,0,0,0,1
20200329,4,New Visitor,google,/blog/ssd-yolo,mobile,United States,Sunnyvale,1,1,0,0,0,1
20200329,5,New Visitor,getbottraffic4free.pw,/,mobile,Spain,Madrid,1,1,133,133,0,0
20200329,7,New Visitor,google,/blog/ssd-yolo,desktop,Singapore,Singapore,1,1,0,0,0,1
20200329,7,Returning Visitor,google,/blog/image-rotation-opencv,desktop,Vietnam,Ho Chi Minh City,1,1,0,0,0,1
20200329,8,New Visitor,google,/blog/ssd-yolo,mobile,India,(not set),1,1,0,0,0,1
20200329,9,New Visitor,google,/blog/image-rotation-opencv,desktop,Taiwan,(not set),1,1,0,0,0,1
20200329,10,New Visitor,getbottraffic4free.pw,/,mobile,Hungary,Godollo,1,1,494,493,0,0
20200329,10,New Visitor,getbottraffic4free.pw,/,mobile,United Kingdom,Bradford,1,1,0,0,0,1
20200329,11,New Visitor,getbottraffic4free.pw,/,mobile,Hungary,Godollo,1,0,0,0,0,0
20200329,12,New Visitor,(direct),/blog/ssd-yolo,desktop,Germany,Lubeck,1,1,0,0,0,1
20200329,13,New Visitor,(direct),/blog/image-rotation-opencv,desktop,India,Bengaluru,1,1,0,0,0,1
20200329,13,New Visitor,google,/blog/bulma-amp,desktop,Spain,Madrid,1,1,0,0,0,1
20200329,15,New Visitor,google,/blog/image-rotation-opencv,desktop,Israel,Bnei Brak,1,1,0,0,0,1
20200329,16,New Visitor,google,/blog/ssd-yolo,desktop,Germany,Kaiserslautern,1,1,0,0,0,1
20200329,17,New Visitor,(direct),/blog/motion-monitor-opencv,desktop,Germany,Kaiserslautern,1,1,0,0,0,1
20200329,19,New Visitor,(direct),/,mobile,France,Paris,1,1,2,2,0,0
20200329,19,New Visitor,(direct),/about,mobile,France,Paris,1,0,0,0,0,0
20200329,21,New Visitor,google,/blog/music-voice-cotrol,mobile,France,Lyon,1,1,429,429,0,0
20200329,21,New Visitor,google,/blog/serverless-api-lambda,desktop,United Kingdom,Malton,1,1,0,0,0,1
20200329,21,New Visitor,google,/blog/ssd-yolo,desktop,United States,Detroit,1,1,0,0,0,1
20200329,22,New Visitor,(direct),/blog/monitoring-grafana,mobile,India,Hyderabad,1,1,0,0,0,1
20200329,22,New Visitor,google,/blog/grafana-dashboard,mobile,Ecuador,Cuenca,1,1,0,0,0,1
20200329,22,New Visitor,google,/blog/serverless-api-lambda,desktop,Canada,Toronto,1,1,0,0,1353,1
20200329,23,Returning Visitor,google,/blog/serverless-api-lambda,desktop,Canada,Markham,1,1,0,0,1180,1
20200330,1,New Visitor,google,/blog/motion-monitor-opencv,desktop,Sweden,Angelholm,1,1,0,0,0,1
20200330,2,New Visitor,google,/blog/ssd-yolo,desktop,United States,Gastonville,1,1,0,0,0,1
20200330,3,Returning Visitor,(direct),/blog/ssd-yolo,desktop,United States,Dallas,1,1,0,0,0,1
20200330,4,New Visitor,(direct),/blog/ssd-yolo,mobile,India,Ahmedabad,1,1,0,0,0,1
20200330,4,New Visitor,medium.com,/blog/monitoring-grafana,desktop,United States,Duluth,1,1,1748,1748,1313,0
20200330,7,Returning Visitor,github.com,/blog/bulma-amp,desktop,Germany,Munich,1,1,0,0,0,1
20200330,10,New Visitor,(direct),/blog/image-rotation-opencv,desktop,South Korea,Hwaseong-si,1,1,0,0,0,1
20200330,10,Returning Visitor,google,/blog/ssd-yolo,desktop,India,Faridabad,1,1,0,0,0,1
20200330,11,New Visitor,google,/blog/image-rotation-opencv,desktop,Ireland,Galway,1,1,0,0,0,1
20200330,11,Returning Visitor,google,/blog/price-minister,desktop,France,Paris,1,1,0,0,0,1
20200330,12,New Visitor,google,/blog/image-rotation-opencv,desktop,Russia,Dolgoprudny,1,1,0,0,0,1
20200330,12,New Visitor,google,/blog/ssd-yolo,desktop,Germany,Hanover,1,1,0,0,0,1
20200330,13,New Visitor,(direct),/blog/image-rotation-opencv,desktop,United Kingdom,London,1,1,1234,1234,0,0
20200330,13,New Visitor,(direct),/blog/monitoring-grafana,desktop,France,Logelheim,1,1,0,0,0,1
20200330,13,New Visitor,google,/blog/ssd-yolo,desktop,France,Villeneuve-d'Ascq,1,1,0,0,0,1
20200330,13,Returning Visitor,(direct),/blog/monitoring-grafana,mobile,France,Logelheim,1,1,0,0,0,1
20200330,14,New Visitor,google,/blog/image-rotation-opencv,desktop,Australia,Canberra,1,1,0,0,0,1
20200330,14,New Visitor,google,/blog/ssd-yolo,desktop,Germany,Munich,1,1,0,0,0,1
20200330,14,New Visitor,google,/blog/ssd-yolo,mobile,Taiwan,(not set),1,1,0,0,0,1
20200330,15,New Visitor,google,/blog/image-rotation-opencv,desktop,Germany,Hanover,1,1,0,0,0,1
20200330,15,New Visitor,google,/blog/ssd-yolo,desktop,India,Imphal,1,1,0,0,0,1
20200330,15,Returning Visitor,cafe.naver.com,/blog/motion-monitor-opencv,desktop,South Korea,Seoul,1,1,72,72,0,0
20200330,16,New Visitor,google,/blog/image-rotation-opencv,desktop,Austria,Melk,1,1,0,0,0,1
20200330,16,New Visitor,google,/blog/image-rotation-opencv,desktop,Germany,Paderborn,1,1,0,0,0,1
20200330,16,New Visitor,google,/blog/motion-monitor-opencv,desktop,Malaysia,Kuala Lumpur,1,1,0,0,0,1
20200330,16,New Visitor,google,/blog/motion-monitor-opencv,mobile,Turkey,Balikesir,1,1,0,0,0,1
20200330,16,Returning Visitor,google,/blog/ssd-yolo,desktop,France,Villeneuve-d'Ascq,1,1,0,0,0,1
20200330,17,New Visitor,(direct),/blog/image-rotation-opencv,desktop,Mexico,Tuxtla Gutierrez,1,1,0,0,0,1
20200330,17,New Visitor,google,/blog/ssd-yolo,desktop,Italy,Empoli,1,1,0,0,0,1
20200330,18,New Visitor,google,/blog/image-rotation-opencv,desktop,United States,Cypress,1,1,0,0,0,1
20200330,18,New Visitor,google,/blog/image-rotation-opencv,desktop,United States,Fairfax,1,1,0,0,0,1
20200330,19,New Visitor,google,/blog/bulma-amp,desktop,Netherlands,Gouda,1,1,0,0,0,1
20200330,19,New Visitor,google,/blog/ssd-yolo,desktop,Brazil,Sao Paulo,1,1,0,0,0,1
20200330,22,New Visitor,google,/blog/image-rotation-opencv,desktop,France,Paris,1,1,0,0,0,1
20200331,1,New Visitor,(direct),/blog/image-rotation-opencv,desktop,France,Goussainville,1,1,0,0,0,1
20200331,1,New Visitor,(direct),/blog/image-rotation-opencv,mobile,France,Rouen,1,1,748,748,0,0
20200331,1,Returning Visitor,(direct),/blog/monitoring-grafana,desktop,Canada,Saskatoon,1,1,0,0,0,1
20200331,2,New Visitor,(direct),/blog/image-rotation-opencv,desktop,France,Rouen,1,1,0,0,0,1
20200331,3,New Visitor,(direct),/blog/image-rotation-opencv,desktop,Mexico,Tuxtla Gutierrez,1,1,1698,1698,0,0
20200331,4,New Visitor,(direct),/blog/image-rotation-opencv,desktop,Mexico,Tuxtla Gutierrez,1,0,0,0,0,0
20200331,4,New Visitor,google,/blog/image-rotation-opencv,desktop,Taiwan,(not set),1,1,0,0,0,1
20200331,5,New Visitor,google,/blog/ssd-yolo,desktop,Singapore,Singapore,1,1,0,0,0,1
20200331,5,Returning Visitor,google,/blog/motion-monitor-opencv,desktop,United States,Las Vegas,1,1,0,0,0,1
20200331,6,New Visitor,google,/blog/analytics-google,desktop,United States,Dallas,1,1,111,111,0,0
20200331,8,New Visitor,(direct),/blog/image-rotation-opencv,desktop,Poland,Warsaw,1,1,0,0,0,1
20200331,8,New Visitor,(direct),/blog/image-rotation-opencv,desktop,South Korea,Seoul,1,1,0,0,0,1
20200331,8,New Visitor,google,/blog/motion-monitor-opencv,desktop,Taiwan,(not set),1,1,0,0,0,1
20200331,9,New Visitor,google,/blog/analytics-google,desktop,Malaysia,Kuala Lumpur,1,1,0,0,0,1
20200331,9,New Visitor,google,/blog/image-rotation-opencv,desktop,Israel,Bnei Brak,1,1,0,0,0,1
20200331,9,New Visitor,google,/blog/motion-monitor-opencv,desktop,Colombia,Bogota,1,1,0,0,0,1
20200331,9,New Visitor,google,/blog/ssd-yolo,desktop,United States,(not set),2,2,0,0,0,2
20200331,9,Returning Visitor,github.com,/blog/analytics-google,desktop,Malaysia,Kuala Lumpur,1,1,0,0,0,1
20200331,10,New Visitor,google,/blog/image-rotation-opencv,desktop,Germany,Bremen,1,1,6,6,0,0
20200331,10,New Visitor,google,/blog/image-rotation-opencv,desktop,Israel,Tel Aviv-Yafo,1,1,0,0,0,1
20200331,10,New Visitor,google,/blog/serverless-api-lambda,desktop,France,Paris,1,1,0,0,0,1
20200331,10,New Visitor,medium.com,/blog/monitoring-grafana,desktop,Germany,Pfungstadt,1,1,0,0,0,1
20200331,11,New Visitor,google,/blog/ssd-yolo,desktop,Greece,Thessaloniki,1,1,0,0,0,1
20200331,11,New Visitor,google,/blog/ssd-yolo,desktop,Spain,(not set),1,1,0,0,0,1
20200331,11,Returning Visitor,(direct),/about,mobile,France,Paris,1,1,0,0,0,1
20200331,12,New Visitor,google,/blog/image-rotation-opencv,desktop,Tunisia,Tunis,1,1,0,0,0,1
20200331,12,New Visitor,google,/blog/serverless-api-lambda,desktop,Thailand,Bangkok,1,1,0,0,0,1
20200331,13,New Visitor,google,/blog/document-detection,desktop,Denmark,Copenhagen,1,1,0,0,0,1
20200331,13,New Visitor,google,/blog/image-rotation-opencv,desktop,Sri Lanka,(not set),1,1,0,0,0,1
20200331,14,New Visitor,google,/blog/image-rotation-opencv,desktop,Poland,Kielce,1,1,0,0,0,1
20200331,14,New Visitor,google,/blog/ssd-yolo,desktop,Ukraine,Kyiv,1,1,0,0,0,1
20200331,14,Returning Visitor,google,/blog/analytics-google,desktop,United States,Los Angeles,1,1,0,0,0,1
20200331,15,New Visitor,google,/blog/image-rotation-opencv,desktop,France,Sucy-en-Brie,1,1,0,0,0,1
20200331,16,New Visitor,google,/blog/image-rotation-opencv,desktop,United States,Tempe,1,1,0,0,0,1
20200331,18,New Visitor,google,/blog/gnuplot-electrode,desktop,Switzerland,Utzenstorf,1,1,0,0,0,1
20200331,18,Returning Visitor,(direct),/deplacement-covid-19/,desktop,France,Paris,1,1,0,0,0,1
20200331,19,New Visitor,google,/blog/ssd-yolo,mobile,Germany,Dresden,1,1,0,0,0,1
20200331,20,New Visitor,google,/blog/bulma-amp,desktop,Brazil,Belo Horizonte,1,1,0,0,0,1
20200331,20,Returning Visitor,google,/blog/image-rotation-opencv,desktop,United States,Tempe,1,1,0,0,0,1
20200331,20,Returning Visitor,google,/blog/serverless-api-lambda,desktop,United States,Arlington,1,1,0,0,0,1
20200331,21,New Visitor,google,/blog/motion-monitor-opencv,desktop,Israel,Tel Aviv-Yafo,1,1,0,0,0,1
20200331,21,New Visitor,google,/blog/music-voice-cotrol,mobile,Spain,Alhaurin de la Torre,1,1,0,0,0,1
20200331,21,New Visitor,google,/blog/ssd-yolo,mobile,Pakistan,Karachi,1,1,0,0,0,1
20200331,23,New Visitor,github.com,/blog/analytics-google,desktop,United States,San Diego,1,1,0,0,0,1
20200331,23,New Visitor,google,/blog/motion-monitor-opencv,desktop,Colombia,Cali,1,0,0,0,0,0
20200331,23,New Visitor,google,/blog/raspberry-video-stream,desktop,Colombia,Cali,1,1,199,199,0,0
20200401,0,New Visitor,google,/blog/ssd-yolo,mobile,Belgium,Etterbeek,1,1,0,0,0,1
